"session_id","run_date","language","mode","notes"
"session_20260413_125445_7aecf2cc","2026-04-13","java","static","initial ingestion batch"
"session_20260413_125515_f51c3f97","2026-04-13","java","dynamic","initial ingestion batch"
"session_20260413_125656_cbfea92f","2026-04-13","java","both","initial ingestion batch"
"session_20260413_125516_5e44a018","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125517_2cd03b78","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125517_561b9ab9","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125517_d2475a15","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125518_234ee24f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125518_82245f8c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125518_ab662be8","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125519_6d3e2ebd","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125519_bd717ba2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125519_dfa62ce4","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125520_37dc0e04","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125520_7ed67ced","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125520_b47edab7","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125521_5cb89697","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125521_882b78b4","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125521_8ae097fb","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125522_285565cf","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125522_3debc876","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125522_6c9fdab6","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
