"session_id","run_date","language","mode","input","success","crashed","escape_detected","escape_summary","error","execution_time_ms"
"session_20260413_125515_f51c3f97","2026-04-13","java","dynamic","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125656_cbfea92f","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125516_5e44a018","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125517_2cd03b78","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125517_561b9ab9","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125517_d2475a15","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125518_234ee24f","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125518_82245f8c","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125518_ab662be8","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125519_6d3e2ebd","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125519_bd717ba2","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125519_dfa62ce4","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125520_37dc0e04","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125520_7ed67ced","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125520_b47edab7","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125521_5cb89697","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125521_882b78b4","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125521_8ae097fb","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125522_285565cf","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125522_3debc876","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125522_6c9fdab6","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125523_356572b7","2026-04-13","java","both","<bridge-startup>","false","true","false","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125523_8a78b2f3","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125523_c2c8d7fe","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125524_24f87d51","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
"session_20260413_125524_67561c42","2026-04-13","java","both","<bridge-startup>","false","true","true","No escaping references detected","Runtime Crash: Exception in thread ""main"" java.lang.NoClassDefFoundError: com/google/gson/GsonBuilder","0"
